Figure 2. Top panel.
--------------------

R/Rvir      rho/rho_bar   
------      -----------

1.06302		6.80956   first blue curve from bottom
1.22025		5.61418
1.38704		4.81012
1.60802		4.12053
1.88268		3.52952
2.16116		2.90993
2.50548		2.49276
2.84798		2.21931
3.23731		1.97585
3.67985		1.75909
4.14185		1.56625
4.75471		1.39432
5.40481		1.28992
6.26616		1.19315
7.26463		1.06209
8.33973		0.98249
9.29505		0.94464
10.15749	0.90841
11.43346	0.90751
12.86946	0.87248
14.77465	0.87148
16.79544	0.87055
18.90528	0.86969
21.28015	0.86883
24.19073	0.86791
26.96293	0.90105
28.88987	0.90053


1.01515		15.73230 second blue curve from bottom
1.11236		13.91538
1.24925		12.00967
1.38339		10.49307
1.55912		8.94573
1.75100		7.91207
1.98736		6.82832
2.20077		6.03955
2.44568		5.40767
2.73703		4.72465
3.05236		4.33521
3.39203		3.83439
3.69082		3.56192
4.03006		3.26850
4.55802		2.92640
5.10106		2.68516
5.68874		2.43383   starts to be blanded
6.38896		2.28855
6.97624		2.15210
7.53757		2.07404
8.20150		1.92666
8.79929		1.85680
9.54079		1.76765
10.27227	1.70354

1.01519	       18.67499    third blue curve from bottom
1.08917	       16.92879
1.18928	       15.34515
1.29858	       13.57307
1.41793	       12.15358
1.57019	       10.74966
1.72055	       9.62536
1.89861	       8.61848
2.05135	       7.71736
2.24777	       6.82609
2.48916	       6.26354
2.72751	       5.54017
2.95733	       5.08388
3.18404	       4.72275
3.47669	       4.28095
3.74322	       4.02586
4.00191	       3.69443       blanded
4.33913	       3.47423
4.72132	       3.18806
5.08327	       2.99810
5.47297	       2.81945
5.97605	       2.65135
6.43419	       2.49337

1.01880        21.89804  fourth blue curve from bottom
1.10465        20.09452
1.19351        17.77448
1.28048        16.11248
1.38837        14.60548
1.52667        12.91857
1.66698        11.28762
1.81380        10.23179
1.97355        9.16182
2.16254        8.20359
2.38634        7.25602
2.61485        6.49711
2.81531        6.03560
3.00987        5.60697
3.20658        5.14542
3.50130        4.66408

1.05320		24.16523    red dahsed curve
1.18510		20.70603
1.33349		17.07404
1.51534		14.62873
1.70508		12.06274
1.93756		9.94603
2.20182		8.85496
2.47753		7.30173
2.84322		6.25548
3.19931		5.36002
3.63559		4.59237
4.13137		3.93466
4.64888		3.50332
5.33519		3.11876
6.06286		2.77663
6.95792		2.47184
7.90692		2.20068
9.07439		2.03575
10.21130	1.88349
11.71903	1.74234
13.18728	1.61203
15.13474	1.54955
17.36942	1.43342
19.93449	1.37787
22.21238	1.27492
25.49318	1.27346
29.25793	1.22411
33.24986	1.17677
38.16009	1.13116
43.79546	1.08733
49.77296	1.12866
56.56275	1.04416
64.28148	1.04305
73.05352	1.04194
83.84184	1.00156

