Figure 4, top panel.


R/Rvir     V/V_c
------     ------

1.01798         -0.11108    magenta dashed line
1.18156         -0.13035
1.28355         -0.14414
1.51467         -0.16616
1.66183         -0.17994
1.91617         -0.20754
2.13039         -0.22686
2.46462         -0.26279
2.67739         -0.28492
3.10775         -0.32918
3.43244         -0.35962
3.93187         -0.42057
4.32837         -0.45934
4.95825         -0.53140
5.44026         -0.57573
6.19094         -0.65891
6.72579         -0.71436
7.57835         -0.80867
8.34321         -0.89188
9.18536         -0.98066
9.97942         -1.06667
10.98693	-1.16655
11.93714	-1.27201

1.03333		-1.11663  red dashed line
1.16787		-1.05815
1.31993		-0.99966
1.49675		-0.94951
1.66392		-0.91050
1.88682		-0.86034
2.14672		-0.81852
2.44242		-0.77948
2.78809		-0.74320
3.18272		-0.71527
3.59726		-0.68179
4.12006		-0.65662
4.68768		-0.62869
5.47669		-0.60628
6.08852		-0.58393
6.97348		-0.56710
8.01344		-0.54193
9.05745		-0.52512
10.27146	-0.51107
11.88183	-0.49423
13.42982	-0.47742
15.43284	-0.46058
17.44345	-0.44377
20.04529	-0.43249
22.88286	-0.41289
25.94996	-0.39884
29.72148	-0.37646
33.70489	-0.35686
38.73169	-0.33725
43.63323	-0.32322
49.80962	-0.30084
57.61803	-0.27566
65.12397	-0.25329
74.09743	-0.23647
84.58651	-0.21686
94.97471	-0.19450

1.02645		-1.08052  first blue curve from top
1.09663		-1.03322
1.17161		-0.98870
1.27259		-0.93582
1.38685		-0.88016
1.50638		-0.82728
1.63623		-0.77996
1.77729		-0.73541
1.95621		-0.68252
2.14604		-0.63519
2.35428		-0.58230
2.59993		-0.54051
2.87119		-0.49595
3.22369		-0.45136
3.54830		-0.41236
3.99711		-0.36499
4.50278		-0.32873
4.95622		-0.29251
5.52807		-0.25904
6.20683		-0.22279
6.96900		-0.19210
7.85064		-0.15584
8.78557		-0.12793
9.76705		-0.10558
10.71528	-0.08046
12.03123	-0.05810
13.46410	-0.03297
14.96831	-0.01339
16.75104	0.00896
18.49974	0.02297
20.43101	0.03698
22.41508	0.04820
25.33583	0.05391
27.88852	0.06236

1.16398		-1.04426   second blue curve from top
1.28966		-0.98580
1.42419		-0.93013
1.57278		-0.88279
1.71972		-0.84101
1.89914		-0.79367
2.11122		-0.74910
2.33925		-0.71008
2.60914		-0.67384
2.88144		-0.64316
3.19272		-0.61526
3.53763		-0.58736
3.99843		-0.55666
4.45983		-0.53153
5.02413		-0.50638
5.60397		-0.48958
6.29224		-0.47000
6.94914		-0.45877
7.70000		-0.44198
8.41980		-0.42798
9.45407		-0.41951
10.75680	-0.40546
12.15821	-0.38865
13.83369	-0.38016
15.43049	-0.37169
17.26859	-0.36045
19.26188	-0.35198
21.13251	-0.34354
23.57146	-0.32674
26.37958	-0.32105
29.03730	-0.30982
32.17496	-0.29581
36.00787	-0.28734
39.50424	-0.27056
44.21027	-0.26209
49.97052	-0.25083

1.87425		-0.82424    third blue curve from top, where not blended.
2.05618		-0.78802
2.28583		-0.75178
2.48296		-0.72668
2.74209		-0.69600
3.03833		-0.67088
3.33332		-0.64854
3.71794		-0.61786
4.16071		-0.58994
4.61026		-0.57037
5.31541		-0.55076
5.96820		-0.52840
6.90394		-0.51433
8.03936		-0.49470
9.39252		-0.47229
10.68683	-0.46103
12.28074	-0.44419
13.88062	-0.42460
15.89824	-0.41055
18.33009	-0.39649
20.51360	-0.38524
22.35727	-0.37680
25.02050	-0.36555
27.54155	-0.35988
28.84786	-0.35427
32.28411	-0.34025

