Figure 4, top panel.

R/Rvir     V/V_c
------     ------
1.00   		-1.10   
1.03333		-1.08     red dashed line
1.16787		-1.03   
1.31993		-0.97
1.49675		-0.92
1.66392		-0.87050
1.87425		-0.82424    third blue curve from top, where not blended.
2.05618		-0.78802
2.28583		-0.75178
2.48296		-0.72668
2.74209		-0.69600
3.03833		-0.67088
3.33332		-0.64854
3.71794		-0.61786
4.16071		-0.58994
4.61026		-0.57037
5.31541		-0.55076
5.96820		-0.52840
6.90394		-0.51433
8.03936		-0.49470
9.39252		-0.47229
10.68683	-0.46103
12.28074	-0.44419
13.88062	-0.42460
15.89824	-0.41055
18.33009	-0.39649
20.51360	-0.38524
22.35727	-0.37680
25.02050	-0.36555
27.54155	-0.35988
28.84786	-0.35427
32.28411	-0.34025
38.73169	-0.33725
43.63323	-0.32322
49.80962	-0.30084
57.61803	-0.27566
65.12397	-0.25329
74.09743	-0.23647
84.58651	-0.21686
94.97471	-0.19450
